Entrez	Gene Symbol	Ensembl ID	P-value
5291	PIK3CB	ENSG00000051382	1.4178999999999998e-21
83440	ADPGK	ENSG00000159322	1.1746600000000001e-19
51663	ZFR	ENSG00000056097	2.12119e-17
611	OPN1SW	ENSG00000128617	1.95752e-15
58985	IL22RA1	ENSG00000142677	1.28275e-14
80329	ULBP1	ENSG00000111981	2.70403e-13
10765	KDM5B	ENSG00000117139	3.05677e-13
1965	EIF2S1	ENSG00000134001	3.66805e-13
51816	ADA2	ENSG00000093072	3.78882e-13
604	BCL6	ENSG00000113916	1.06511e-12
6749	SSRP1	ENSG00000149136	1.56168e-12
54505	DHX29	ENSG00000067248	3.94791e-12
7514	XPO1	ENSG00000082898	1.06906e-11
9880	ZBTB39	ENSG00000166860	1.4034e-11
130589	GALM	ENSG00000143891	2.61155e-10
23371	TNS2	ENSG00000111077	3.63405e-10
5646	PRSS3	ENSG00000010438	5.07157e-10
145173	B3GLCT	ENSG00000187676	9.7204e-10
161436	EML5	ENSG00000165521	1.1421e-09
3848	KRT1	ENSG00000167768	1.19168e-09
5547	PRCP	ENSG00000137509	2.23424e-09
94025	MUC16	ENSG00000181143	2.5865e-09
285676	ZNF454	ENSG00000178187	1.01588e-08
152518	NFXL1	ENSG00000170448	1.25838e-08
51530	ZC3HC1	ENSG00000091732	1.38192e-08
