Entrez	Gene Symbol	Ensembl ID	P-value
2312	FLG	ENSG00000143631	1.4600000000000002e-26
90865	IL33	ENSG00000137033	1.29e-10
7579	ZSCAN20	ENSG00000121903	1.89e-07
27315	PGAP2	ENSG00000148985	8.41e-07
56927	GPR108	ENSG00000125734	1.15e-06
51705	EMCN	ENSG00000164035	2.43e-06
420	ART4	ENSG00000111339	2.98e-06
85458	DIXDC1	ENSG00000150764	3.53e-06
8202	NCOA3	ENSG00000124151	5.04e-06
4809	SNU13	ENSG00000100138	7.11e-06
25983	NGDN	ENSG00000129460	8.26e-06
200909	HTR3D	ENSG00000186090	8.77e-06
84517	ACTRT3	ENSG00000184378	8.84e-06
374928	ZNF773	ENSG00000152439	9.28e-06
10626	TRIM16	ENSG00000221926	1.18e-05
3783	KCNN4	ENSG00000104783	1.25e-05
763	CA5A	ENSG00000174990	1.33e-05
57582	KCNT1	ENSG00000107147	1.51e-05
7430	EZR	ENSG00000092820	1.8e-05
54462	CCSER2	ENSG00000107771	1.96e-05
7525	YES1	ENSG00000176105	1.97e-05
27111	SDCBP2	ENSG00000125775	2.03e-05
400713	ZNF880	ENSG00000221923	2.67e-05
10131	TRAP1	ENSG00000126602	3.11e-05
50848	F11R	ENSG00000158769	3.19e-05
55036	CCDC40	ENSG00000141519	3.38e-05
57118	CAMK1D	ENSG00000183049	3.39e-05
8894	EIF2S2	ENSG00000125977	3.4e-05
79626	TNFAIP8L2	ENSG00000163154	3.64e-05
90139	TSPAN18	ENSG00000157570	3.74e-05
50617	ATP6V0A4	ENSG00000105929	3.95e-05
197335	WDR90	ENSG00000161996	4.2e-05
4293	MAP3K9	ENSG00000006432	4.2e-05
222235	FBXL13	ENSG00000161040	4.43e-05
56341	PRMT8	ENSG00000111218	4.7e-05
10742	RAI2	ENSG00000131831	4.7e-05
221481	ARMC12	ENSG00000157343	4.9e-05
390245	KDM4E	ENSG00000235268	5.06e-05
375387	NRROS	ENSG00000174004	5.73e-05
10777	ARPP21	ENSG00000172995	5.89e-05
55114	ARHGAP17	ENSG00000288353	6.23e-05
3127	HLA-DRB5	ENSG00000198502	6.26e-05
23550	PSD4	ENSG00000125637	6.44e-05
57829	ZP4	ENSG00000116996	6.86e-05
51009	DERL2	ENSG00000072849	7.17e-05
10985	GCN1	ENSG00000089154	7.3e-05
163486	DENND1B	ENSG00000213047	7.34e-05
22882	ZHX2	ENSG00000178764	7.42e-05
51248	PDZD11	ENSG00000120509	7.57e-05
10236	HNRNPR	ENSG00000282958	7.89e-05
10716	TBR1	ENSG00000136535	8.36e-05
91039	DPP9	ENSG00000142002	8.41e-05
22983	MAST1	ENSG00000105613	8.63e-05
7840	ALMS1	ENSG00000116127	8.69e-05
8879	SGPL1	ENSG00000166224	8.99e-05
5971	RELB	ENSG00000104856	9.25e-05
