Entrez	Gene Symbol	Ensembl ID	P-value
55336	FBXL8	ENSG00000135722	6.01e-07
2840	GPR17	ENSG00000144230	2.08e-06
9570	GOSR2	ENSG00000108433	4.46e-06
6895	TARBP2	ENSG00000139546	4.99e-06
84895	MIGA2	ENSG00000148343	7.86e-06
7220	TRPC1	ENSG00000144935	8.37e-06
84224	NBPF3	ENSG00000142794	1.03e-05
6768	ST14	ENSG00000149418	2.13e-05
79905	TMC7	ENSG00000170537	2.54e-05
8678	BECN1	ENSG00000126581	3.85e-05
26059	ERC2	ENSG00000187672	4.28e-05
11187	PKP3	ENSG00000184363	4.74e-05
56983	POGLUT1	ENSG00000163389	5.51e-05
642	BLMH	ENSG00000108578	5.58e-05
286262	TPRN	ENSG00000176058	5.74e-05
79083	MLPH	ENSG00000115648	6.17e-05
10056	FARSB	ENSG00000116120	6.18e-05
285605	DTWD2	ENSG00000169570	6.68e-05
170689	ADAMTS15	ENSG00000166106	7.01e-05
84132	USP42	ENSG00000106346	7.26e-05
344	APOC2	ENSG00000234906	7.9e-05
4081	MAB21L1	ENSG00000180660	8.59e-05
537	ATP6AP1	ENSG00000071553	8.69e-05
2689	GH2	ENSG00000136487	8.83e-05
