Entrez	Gene Symbol	Ensembl ID	P-value
5871	MAP4K2	ENSG00000168067	7.94e-18
64599	GIGYF1	ENSG00000146830	2.51e-09
130507	UBR3	ENSG00000144357	7.49e-07
3177	SLC29A2	ENSG00000174669	6.49e-06
55582	KIF27	ENSG00000165115	6.88e-06
29986	SLC39A2	ENSG00000165794	9.37e-06
11180	WDR6	ENSG00000178252	1.05e-05
3172	HNF4A	ENSG00000101076	1.41e-05
54443	ANLN	ENSG00000011426	1.49e-05
57153	SLC44A2	ENSG00000129353	1.53e-05
57498	KIDINS220	ENSG00000134313	1.73e-05
114793	FMNL2	ENSG00000157827	1.88e-05
93210	PGAP3	ENSG00000161395	1.97e-05
1496	CTNNA2	ENSG00000066032	2.48e-05
23112	TNRC6B	ENSG00000100354	2.5e-05
27097	TAF5L	ENSG00000135801	3.02e-05
6927	HNF1A	ENSG00000135100	3.36e-05
84343	HPS3	ENSG00000163755	4.35e-05
610	HCN2	ENSG00000099822	4.5e-05
145376	PPP1R36	ENSG00000165807	4.66e-05
84691	GARIN1B	ENSG00000135248	4.68e-05
55689	YEATS2	ENSG00000163872	4.74e-05
158471	PRUNE2	ENSG00000106772	4.85e-05
7314	UBB	ENSG00000170315	4.93e-05
89792	GAL3ST3	ENSG00000175229	5.05e-05
26149	ZNF658	ENSG00000274349	5.8e-05
5256	PHKA2	ENSG00000044446	5.87e-05
164	AP1G1	ENSG00000166747	5.92e-05
221223	CES5A	ENSG00000261972	7.62e-05
57111	RAB25	ENSG00000132698	7.72e-05
79369	B3GNT4	ENSG00000176383	7.86e-05
51559	NT5DC3	ENSG00000111696	8.05e-05
54	ACP5	ENSG00000102575	8.55e-05
6189	RPS3A	ENSG00000145425	8.83e-05
