Entrez	Gene Symbol	Ensembl ID	P-value
23125	CAMTA2	ENSG00000108509	2.36e-06
283927	NUDT7	ENSG00000140876	3.72e-06
64319	FBRS	ENSG00000156860	1.04e-05
54790	TET2	ENSG00000168769	1.4e-05
55244	SLC47A1	ENSG00000142494	1.93e-05
90362	FAM110B	ENSG00000169122	2.47e-05
65217	PCDH15	ENSG00000150275	3.97e-05
253012	HEPACAM2	ENSG00000188175	4.82e-05
4734	NEDD4	ENSG00000069869	6.08e-05
222962	SLC29A4	ENSG00000164638	6.25e-05
165140	OXER1	ENSG00000162881	6.52e-05
1280	COL2A1	ENSG00000139219	7.19e-05
9388	LIPG	ENSG00000101670	7.27e-05
