Entrez	Gene Symbol	Ensembl ID	P-value
653784	MZT2A	ENSG00000173272	2.12e-06
7579	ZSCAN20	ENSG00000121903	3.46e-06
9480	ONECUT2	ENSG00000119547	5.83e-06
9958	USP15	ENSG00000135655	1.59e-05
654346	LGALS9C	ENSG00000284021	2.24e-05
259289	TAS2R43	ENSG00000282537	2.65e-05
6184	RPN1	ENSG00000163902	2.74e-05
157697	ERICH1	ENSG00000282665	3.48e-05
126074	SWSAP1	ENSG00000173928	3.95e-05
54825	CDHR2	ENSG00000074276	4.11e-05
199746	U2AF1L4	ENSG00000161265	4.44e-05
144165	PRICKLE1	ENSG00000139174	5.57e-05
57216	VANGL2	ENSG00000162738	5.71e-05
122011	CSNK1A1L	ENSG00000180138	5.97e-05
339324	ZNF260	ENSG00000254004	6.54e-05
58499	ZNF462	ENSG00000148143	6.71e-05
23161	SNX13	ENSG00000071189	6.82e-05
4113	MAGEB2	ENSG00000099399	7.15e-05
79065	ATG9A	ENSG00000198925	7.52e-05
23589	CARHSP1	ENSG00000153048	7.86e-05
2181	ACSL3	ENSG00000123983	7.97e-05
1087	CEACAM7	ENSG00000280501	8.25e-05
254786	OR6C3	ENSG00000205329	9.27e-05
7351	UCP2	ENSG00000175567	9.3e-05
54751	FBLIM1	ENSG00000162458	9.35e-05
