Entrez	Gene Symbol	Ensembl ID	P-value
6653	SORL1	ENSG00000137642	9e-16
7305	TYROBP	ENSG00000011600	5e-08
344387	CDKL4	ENSG00000205111	6e-08
51398	WDR83OS	ENSG00000105583	1e-07
55652	SLC48A1	ENSG00000211584	1e-07
5663	PSEN1	ENSG00000080815	3e-07
257407	C2orf72	ENSG00000204128	4e-07
54739	XAF1	ENSG00000132530	4e-07
29110	TBK1	ENSG00000183735	3e-06
10472	ZBTB18	ENSG00000179456	4e-06
29969	MDFIC	ENSG00000135272	4e-06
219874	OR6T1	ENSG00000181499	8e-06
81926	ABHD17A	ENSG00000129968	8e-06
57338	JPH3	ENSG00000154118	9e-06
84078	KBTBD7	ENSG00000120696	2e-05
493869	GPX8	ENSG00000164294	2e-05
161835	FSIP1	ENSG00000150667	2e-05
23387	SIK3	ENSG00000160584	2e-05
9772	TMEM94	ENSG00000177728	2e-05
6773	STAT2	ENSG00000170581	2e-05
3306	HSPA2	ENSG00000126803	3e-05
64208	POPDC3	ENSG00000132429	3e-05
493901	RNASE12	ENSG00000258436	4e-05
138715	ARID3C	ENSG00000205143	5e-05
29802	VPREB3	ENSG00000128218	5e-05
4760	NEUROD1	ENSG00000162992	6e-05
4807	NHLH1	ENSG00000171786	6e-05
149478	BTBD19	ENSG00000222009	7e-05
26586	CKAP2	ENSG00000136108	7e-05
728	C5AR1	ENSG00000197405	8e-05
8091	HMGA2	ENSG00000149948	8e-05
441054	C4orf47	ENSG00000205129	9e-05
