Entrez	Gene Symbol	Ensembl ID	P-value
57795	BRINP2	ENSG00000198797	1.56e-06
80821	DDHD1	ENSG00000100523	3.93e-06
7260	EIPR1	ENSG00000032389	1.82e-05
55179	FAIM	ENSG00000158234	2.41e-05
10631	POSTN	ENSG00000133110	2.49e-05
23020	SNRNP200	ENSG00000144028	2.53e-05
51194	IPO11	ENSG00000086200	3.11e-05
202500	TCTE1	ENSG00000146221	3.18e-05
11046	SLC35D2	ENSG00000130958	3.45e-05
150353	DNAJB7	ENSG00000172404	3.54e-05
148213	ZNF681	ENSG00000196172	3.58e-05
259289	TAS2R43	ENSG00000282537	3.91e-05
51296	SLC15A3	ENSG00000110446	4.16e-05
285175	UNC80	ENSG00000144406	4.6e-05
26063	DECR2	ENSG00000274296	5.06e-05
4335	MNT	ENSG00000070444	5.22e-05
84552	PARD6G	ENSG00000178184	5.36e-05
3083	HGFAC	ENSG00000109758	5.42e-05
1965	EIF2S1	ENSG00000134001	6.04e-05
146198	ZFP90	ENSG00000184939	6.37e-05
8572	PDLIM4	ENSG00000131435	6.59e-05
10844	TUBGCP2	ENSG00000130640	6.66e-05
8972	MGAM	ENSG00000282607	7.05e-05
23234	DNAJC9	ENSG00000213551	7.14e-05
401067	IQCF3	ENSG00000229972	7.39e-05
6335	SCN9A	ENSG00000169432	7.8e-05
4739	NEDD9	ENSG00000111859	8.19e-05
55615	PRR5	ENSG00000186654	9.18e-05
