Entrez	Gene Symbol	Ensembl ID	P-value
219578	ZNF804B	ENSG00000182348	3.44e-06
56244	BTNL2	ENSG00000275798	1.43e-05
55714	TENM3	ENSG00000218336	1.46e-05
3782	KCNN3	ENSG00000143603	1.59e-05
80153	EDC3	ENSG00000179151	1.64e-05
1303	COL12A1	ENSG00000111799	2.37e-05
10989	IMMT	ENSG00000132305	2.39e-05
10241	CALCOCO2	ENSG00000136436	2.64e-05
221184	CPNE2	ENSG00000140848	3.41e-05
192111	PGAM5	ENSG00000247077	4.22e-05
147872	KASH5	ENSG00000161609	4.28e-05
7402	UTRN	ENSG00000152818	4.62e-05
7448	VTN	ENSG00000109072	4.88e-05
64902	AGXT2	ENSG00000113492	4.94e-05
11136	SLC7A9	ENSG00000021488	5.7e-05
9551	ATP5MF	ENSG00000241468	6.36e-05
7179	TPTE	ENSG00000274391	6.66e-05
80352	RNF39	ENSG00000237733	6.87e-05
643904	RNF222	ENSG00000189051	7.08e-05
5176	SERPINF1	ENSG00000282307	7.35e-05
3426	CFI	ENSG00000205403	8.94e-05
