Entrez	Gene Symbol	Ensembl ID	P-value
23423	TMED3	ENSG00000166557	2.04e-11
387836	CLEC2A	ENSG00000188393	7.98e-11
84142	ABRAXAS1	ENSG00000163322	7.71e-10
134526	ACOT12	ENSG00000172497	3.53e-08
256380	SCML4	ENSG00000146285	2.26e-07
3074	HEXB	ENSG00000049860	2.67e-07
3297	HSF1	ENSG00000284774	4.32e-07
5481	PPID	ENSG00000171497	5.26e-07
64318	NOC3L	ENSG00000173145	7.61e-07
6300	MAPK12	ENSG00000188130	1.18e-06
23779	ARHGAP8	ENSG00000241484	1.29e-06
1788	DNMT3A	ENSG00000119772	2.21e-06
553158	PRR5-ARHGAP8	ENSG00000248405	2.28e-06
50628	GEMIN4	ENSG00000179409	2.69e-06
150160	CCT8L2	ENSG00000198445	3.7e-06
115701	ALPK2	ENSG00000198796	3.78e-06
157855	KCNU1	ENSG00000215262	4.99e-06
84804	MFSD9	ENSG00000135953	5.41e-06
672	BRCA1	ENSG00000012048	9.42e-06
7050	TGIF1	ENSG00000177426	1.05e-05
