Entrez	Gene Symbol	Ensembl ID	P-value
7293	TNFRSF4	ENSG00000186827	5.5e-07
114786	XKR4	ENSG00000206579	1.97e-06
56999	ADAMTS9	ENSG00000163638	3.19e-06
9019	MPZL1	ENSG00000197965	8.62e-06
1470	CST2	ENSG00000170369	9.97e-06
51060	TXNDC12	ENSG00000117862	1.44e-05
55816	DOK5	ENSG00000101134	1.8e-05
148103	ZNF599	ENSG00000153896	2.13e-05
25920	NELFB	ENSG00000188986	2.25e-05
5025	P2RX4	ENSG00000135124	2.81e-05
4015	LOX	ENSG00000113083	3.27e-05
2157	F8	ENSG00000185010	3.66e-05
55181	SMG8	ENSG00000167447	3.77e-05
3991	LIPE	ENSG00000079435	4.14e-05
1729	DIAPH1	ENSG00000131504	4.32e-05
54790	TET2	ENSG00000168769	5.01e-05
8425	LTBP4	ENSG00000090006	5.01e-05
23108	RAP1GAP2	ENSG00000132359	5.02e-05
55245	UQCC1	ENSG00000101019	5.8e-05
733	C8G	ENSG00000176919	5.89e-05
728294	D2HGDH	ENSG00000180902	5.95e-05
3836	KPNA1	ENSG00000114030	6.25e-05
3881	KRT31	ENSG00000262993	6.78e-05
84310	C7orf50	ENSG00000146540	6.87e-05
400566	C17orf97	ENSG00000283985	7.53e-05
55193	PBRM1	ENSG00000163939	7.56e-05
23243	ANKRD28	ENSG00000206560	7.65e-05
9321	TRIP11	ENSG00000100815	7.7e-05
147658	ZNF534	ENSG00000198633	9.16e-05
55615	PRR5	ENSG00000186654	9.29e-05
