Entrez	Gene Symbol	Ensembl ID	P-value
3681	ITGAD	ENSG00000156886	8.05e-06
84940	CORO6	ENSG00000167549	1.2e-05
29789	OLA1	ENSG00000138430	1.37e-05
5105	PCK1	ENSG00000124253	1.72e-05
1687	GSDME	ENSG00000105928	1.84e-05
79641	ROGDI	ENSG00000067836	2.71e-05
1819	DRG2	ENSG00000108591	2.96e-05
827	CAPN6	ENSG00000077274	3.05e-05
8078	USP5	ENSG00000111667	3.29e-05
79587	CARS2	ENSG00000134905	3.32e-05
64407	RGS18	ENSG00000150681	3.62e-05
79879	CCDC134	ENSG00000100147	3.8e-05
1618	DAZL	ENSG00000092345	4.55e-05
253260	RICTOR	ENSG00000164327	4.69e-05
144132	DNHD1	ENSG00000179532	4.89e-05
125150	ZSWIM7	ENSG00000214941	5.23e-05
9750	RIPOR2	ENSG00000111913	5.25e-05
1012	CDH13	ENSG00000140945	5.84e-05
60685	ZFAND3	ENSG00000156639	5.94e-05
27037	TRMT2A	ENSG00000099899	6.08e-05
84133	ZNRF3	ENSG00000183579	6.33e-05
128338	DRAM2	ENSG00000156171	6.5e-05
6227	RPS21	ENSG00000171858	6.89e-05
493861	EID3	ENSG00000255150	7.61e-05
55124	PIWIL2	ENSG00000197181	7.83e-05
84162	BLTP1	ENSG00000138688	8.59e-05
2995	GYPC	ENSG00000136732	9.25e-05
