Entrez	Gene Symbol	Ensembl ID	P-value
675	BRCA2	ENSG00000139618	9.47e-24
672	BRCA1	ENSG00000012048	2.35e-13
26118	WSB1	ENSG00000109046	6.26e-07
283514	SIAH3	ENSG00000215475	1.28e-06
2956	MSH6	ENSG00000116062	3.02e-06
83483	PLVAP	ENSG00000130300	1.07e-05
8550	MAPKAPK5	ENSG00000089022	1.2e-05
25898	RCHY1	ENSG00000163743	3.03e-05
51208	CLDN18	ENSG00000066405	3.06e-05
222068	TMED4	ENSG00000158604	3.63e-05
158038	LINGO2	ENSG00000174482	4.73e-05
84305	PYM1	ENSG00000170473	4.98e-05
90161	HS6ST2	ENSG00000171004	5.54e-05
2104	ESRRG	ENSG00000196482	5.71e-05
2188	FANCF	ENSG00000183161	5.99e-05
8498	RANBP3	ENSG00000031823	6.72e-05
128977	C22orf39	ENSG00000242259	6.78e-05
6195	RPS6KA1	ENSG00000281877	6.99e-05
83990	BRIP1	ENSG00000136492	7.2e-05
54958	TMEM160	ENSG00000130748	7.27e-05
4720	NDUFS2	ENSG00000158864	7.3e-05
1794	DOCK2	ENSG00000134516	9.28e-05
115861	NXNL1	ENSG00000171773	9.32e-05
