Entrez	Gene Symbol	P-value	Beta
55876	GSDMB	1e-55	0.1025535
4088	SMAD3	3e-41	0.10345495
23274	CLEC16A	2e-27	0.082469344
6778	STAT6	4.9999999999999996e-26	0.112195864
6095	RORA	4e-18	0.08468739
7096	TLR1	3e-17	0.06644481
337867	UBAC2	1e-16	0.05946135
4026	LPP	6e-16	0.053581715
3559	IL2RA	1e-15	0.2005718
3566	IL4R	4e-15	0.056300007
221895	JAZF1	6e-15	0.06272076
2720	GLB1	3e-14	0.050944738
80762	NDFIP1	2e-12	0.04758603
5890	RAD51B	7e-12	0.05030541
919	CD247	3e-11	0.04412918
861	RUNX1	9e-11	0.060457546
5788	PTPRC	1e-10	0.061879832
7103	TSPAN8	1e-10	0.04292547
473	RERE	3e-10	0.043097023
79718	TBL1XR1	6e-10	0.041353416
10154	PLXNC1	7e-10	0.056485236
57188	ADAMTSL3	1e-09	0.040709324
8710	SERPINB7	1e-09	0.10761888
943	TNFRSF8	2e-09	0.16181695
6777	STAT5B	3e-09	0.045008328
10335	IRAG1	6e-09	0.041330516
2547	XRCC6	7e-09	0.049995754
26034	IPCEF1	9e-09	0.041555144
2769	GNA15	9e-09	0.07949903
79783	SUGCT	2e-08	2.0115917
54806	AHI1	2e-08	0.036847267
23235	SIK2	2e-08	0.04049311
84433	CARD11	2e-08	0.0778066
7292	TNFSF4	3e-08	0.039257757
201294	UNC13D	3e-08	0.042884335
5195	PEX14	3e-08	0.036332093
81619	TSPAN14	4e-08	0.049793966
