Entrez	Gene Symbol	Ensembl ID	P-value
390197	OR4D10	ENSG00000254466	2.51e-06
55003	PAK1IP1	ENSG00000285226	1.27e-05
25837	RAB26	ENSG00000167964	1.48e-05
148867	SLC30A7	ENSG00000162695	2.53e-05
125336	LOXHD1	ENSG00000167210	2.61e-05
23732	FRRS1L	ENSG00000260230	2.74e-05
245806	VGLL2	ENSG00000170162	3.54e-05
4121	MAN1A1	ENSG00000111885	3.71e-05
57570	TRMT5	ENSG00000126814	4.63e-05
2676	GFRA3	ENSG00000146013	7.79e-05
51176	LEF1	ENSG00000138795	7.97e-05
5832	ALDH18A1	ENSG00000059573	8.93e-05
5045	FURIN	ENSG00000140564	9.21e-05
64919	BCL11B	ENSG00000127152	9.3e-05
